# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0  in experiment E-PROT-13
# Selected columns: 9 (all)
# Timestamp: Fri, 17-May-2019 13:38:17
Gene ID	Gene Name	brain	brown adipose tissue	heart	kidney	ling	liver	pancreas	spleen	testis
ENSMUSG00000000001	Gnai3	43.5672781147392	1.27467160243882	1.86696939849909	135.904594865226	105.020986305535	53.604842807242	92.9361730762238	109.061898153071	132.942137078642
ENSMUSG00000000049	Apoh	0.260718007569658	11.5281468635143	38.9180624504188	54.8145142599694	99.2927328865337	22.709499999372	29.7411038659301	27.3673986505629	41.8770001984489
ENSMUSG00000000058	Cav2	1.06323801864448	270.114727679271	19.5127435226207	8.74085071660929	393.219789817753	2.68650707691115	9.35250880219494	4.50448812392245	10.9547862444158
ENSMUSG00000000088	Cox5a	138.283022552104	4532.14654670119	1529.6620090492	889.643115144633	208.114513061685	740.05521904517	367.658251956311	255.78924789531	395.1487086733
ENSMUSG00000000131	Xpo6	0.353078413407114	0.150119275090818	0.0777047633039078	0.0151272220014219	0.924308566124333	0.63096860958293	0.158490048943176	1.0368687277824	10.4235625409253
ENSMUSG00000000148	Brat1	0.61681703617571	0.733769951927882	0.884910099851483	0.565066408252346	8.1482525537061	1.10781978005922	0.0504668639749281	5.6848251082515	32.6305294962408
ENSMUSG00000000167	Pih1d2									5.21967016947815
ENSMUSG00000000168	Dlat	487.57918097699	2624.53426519322	2419.12597759425	540.095640268766	130.339565721804	34.0735834759576	116.133128190301	53.1182622921418	384.842060750878
ENSMUSG00000000171	Sdhd	12.8624466468138	1292.38135933836	713.059939601246	216.730686415543	48.9983671719835	333.627049614123	17.9165009518687	60.2591461474659	54.2960569076141
ENSMUSG00000000184	Ccnd2					0.371359211153112		0.206803552162359		
ENSMUSG00000000202	Btbd17	15.293578597419							0.196865338598883	
ENSMUSG00000000214	Th	16.3231821584802	0.896432560920057							
ENSMUSG00000000215	Ins2							229.245257575048		
ENSMUSG00000000253	Gmpr	68.1009741998533	25.1525946349675	78.9483197548438	31.5921328041826	9.42891561467865	1.82023256477981	4.83989183639832	5.86822655043597	4.79321558528719
ENSMUSG00000000275	Trim25	0.169832699706652		1.73111231580763	9.12406761521345	25.3615789038761	3.28921954409938	57.1472274050673	12.6258881355199	4.93498874888967
ENSMUSG00000000276	Dgke	6.91146407727483				0.149767516031604		0.0918257761938252		3.97481325576447
ENSMUSG00000000278	Scpep1	2.28528997750304	11.0817403392338	2.8823653513009	138.483897762663	32.7517775536817	67.7277997706727	20.5522324990361	52.3468609559268	39.8094276003551
ENSMUSG00000000295	Hddc2	136.550338373572	16.6083909960117	24.5471037462925	49.5888292790036	34.5198683727751	11.6389735496562	7.93416784512298	19.0520640058447	25.0645645483439
ENSMUSG00000000296	Tpd52l1	2.71132644022437					0.64275691876298	4.027189211297		15.297085983097
ENSMUSG00000000301	Pemt			3.98492702153216			444.299071590817		0.779363189363941	
ENSMUSG00000000308	Ckmt1	2086.8188806894	1.17953013471571	0.116243336696529	370.039084304333	52.6458062256574		5.78350440974033		2.80203477190473
ENSMUSG00000000320	Alox12		0.403355871924465	2.30224334779267	0.511554528509371	6.35730886008024	0.222323419748607	0.748641266501405	33.6535450413821	0.57464102541037
ENSMUSG00000000339	Rtca	10.8918195286848	0.813528492125105	2.96468528537694	14.1461348087222	34.2131587408916	4.86465930241364	12.56276958649	33.557507124022	175.281120284186
ENSMUSG00000000340	Dbt	30.3506967657677	148.43878720984	96.2063144448285	644.869001253596	44.3586322504511	236.671403004411	640.928273374799	46.8231317090535	105.864484414614
ENSMUSG00000000355	Mcts1	221.412947220291	86.411548628585	15.1789784825748	31.2632284078651	90.2959170179498	112.707487075896	247.501620892541	153.168086200034	46.3345119155581
ENSMUSG00000000359	Rem1			1.21489043133928	1.18621967145568	5.01620595988357			1.47247813294384	
ENSMUSG00000000365	Rnf17	0.291646883440989	0.0141475534861989	0.00503757128493008				0.00518829571650316		4.77306767772959
ENSMUSG00000000384	Tbrg4	20.0546611551556	75.6779709067437	91.2700375468643	26.8727874859688	6.19192621543715	6.44367902447021	1.55379139458885	13.7473631704992	23.7523965969871
ENSMUSG00000000394	Gcg							179.987692229128		
ENSMUSG00000000399	Ndufa9	76.282579171209	657.501655791153	1734.58610025978	1025.72730912101	140.289587014967	215.015179480367	29.0541862803815	177.251917476082	187.914709642838
ENSMUSG00000000409	Lck								6.98629378834767	
ENSMUSG00000000411	Tssk3									0.382202968634178
ENSMUSG00000000420	Galnt1	0.348149065904554		3.81765992144148	11.1634912568533	2.06358450071292	0.476902312815467	25.2518636766051	10.8525944614255	4.91972174288123
ENSMUSG00000000441	Raf1	0.637127430396788		0.4151902206963	0.203682702798473	0.164435453132858	0.133386891921679		0.39691541845732	0.692917755973847
ENSMUSG00000000486	Sept1				0.390941824228197	0.500026908685433			123.114414060989	0.227773513805377
ENSMUSG00000000530	Acvrl1					15.2320422673458				
